"abbreviation"	"name"	"compartment"
"IMP"	"IMP"	"c, e"
"xanthosine-5-phosphate"	"xanthosine-5-phosphate"	"c"
"aspartate"	"aspartate"	"c, m, l, e"
"adenylosuccinate"	"adenylosuccinate"	"c"
"glutamine"	"glutamine"	"c, m, l, e"
"glutamate"	"glutamate"	"c, m, e, l, r"
"adenine"	"adenine"	"c, e, l"
"5-phosphoribosylamine"	"5-phosphoribosylamine"	"c"
"fumarate"	"fumarate"	"c, m"
"inosine"	"inosine"	"c, e, m"
"guanosine"	"guanosine"	"c, e, l, m"
"dADP"	"dADP"	"c, m, n"
"dAMP"	"dAMP"	"c, l"
"dATP"	"dATP"	"c, m, n"
"glucosamine"	"glucosamine"	"c, e"
"glucosamine-6-phosphate"	"glucosamine-6-phosphate"	"c"
"guanine"	"guanine"	"c, e"
"xanthine"	"xanthine"	"c"
"hypoxanthine"	"hypoxanthine"	"c, e"
"deoxyguanosine"	"deoxyguanosine"	"c, m, l, e"
"dGMP"	"dGMP"	"c, m, l"
"thioredoxin"	"thioredoxin"	"c, m, n"
"oxidizedthioredoxin"	"oxidizedthioredoxin"	"c, m, n"
"dGTP"	"dGTP"	"c, m, n"
"dGDP"	"dGDP"	"c, m, n"
"dCTP"	"dCTP"	"c, n, m"
"dUTP"	"dUTP"	"c, m, n"
"dCDP"	"dCDP"	"c, n, m"
"dUDP"	"dUDP"	"c, m, n"
"deoxyadenosine"	"deoxyadenosine"	"c, e, l"
"xanthosine"	"xanthosine"	"c"
"deoxyinosine"	"deoxyinosine"	"c, e"
"glycine"	"glycine"	"c, m, p, e, l"
"GAR"	"GAR"	"c"
"5-phosphoribosylformylglycinamidine"	"5-phosphoribosylformylglycinamidine"	"c"
"AIR"	"AIR"	"c"
"5-phosphoribosyl-4-carboxy-5-aminoimidazole"	"5-phosphoribosyl-4-carboxy-5-aminoimidazole"	"c"
"N-formyl-GAR"	"N-formyl-GAR"	"c"
"SAICAR"	"SAICAR"	"c"
"AICAR"	"AICAR"	"c"
"10-formyl-THF"	"10-formyl-THF"	"c, m, l, e"
"THF"	"THF"	"c, m, e, l"
"uridine"	"uridine"	"c, l, m, e"
"urate"	"urate"	"c, e"
"alloxan"	"alloxan"	"c, e"
"urea"	"urea"	"c, e, m"
"ADP-ribose"	"ADP-ribose"	"c, e"
"dTTP"	"dTTP"	"c, m, n"
"dTDP"	"dTDP"	"c, m, n"
"HCO3-"	"HCO3-"	"c, m, e"
"orotidine-5-phosphate"	"orotidine-5-phosphate"	"c"
"N-carbamoyl-L-aspartate"	"N-carbamoyl-L-aspartate"	"c"
"dTMP"	"dTMP"	"c, m, n, l"
"thymidine"	"thymidine"	"c, m, l, e"
"CMP"	"CMP"	"c, e, m, l, n, g, r"
"cytidine"	"cytidine"	"c, e, l, m"
"uracil"	"uracil"	"c, e"
"5,6-Dihydrouracil"	"5,6-Dihydrouracil"	"c"
"3-ureidopropionate"	"3-ureidopropionate"	"c"
"thymine"	"thymine"	"c, m, e"
"dihydrothymine"	"dihydrothymine"	"c, m"
"dCMP"	"dCMP"	"c, n, l"
