"abbreviation"	"name"	"compartment"
"linolenoyl-CoA"	"linolenoyl-CoA"	"c, r, m"
"linolenate"	"linolenate"	"c, r, l, e"
"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA"	"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA"	"c, r, m"
"stearidonicacid"	"stearidonicacid"	"c, r, l, e"
"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA"	"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA"	"c, r, m"
"omega-3-arachidonicacid"	"omega-3-arachidonicacid"	"c, r, l, e"
"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA"	"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA"	"c, r, m"
"EPA"	"EPA"	"c, r, n, p, l, e"
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA"	"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA"	"c, r, m"
"DPA"	"DPA"	"c, r, l, e"
"(9Z,12Z,15Z,18Z,21Z)-TPA"	"(9Z,12Z,15Z,18Z,21Z)-TPA"	"c, r, l, e"
"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA"	"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA"	"c, r"
"(6Z,9Z,12Z,15Z,18Z,21Z)-THA"	"(6Z,9Z,12Z,15Z,18Z,21Z)-THA"	"c, r, l, e"
"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA"	"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA"	"c, r, p"
"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA"	"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA"	"c, r, p, m"
"DHA"	"DHA"	"c, r, l, e"
"(11Z,14Z,17Z)-eicosatrienoicacid"	"(11Z,14Z,17Z)-eicosatrienoicacid"	"c, r, l, e"
"(11Z,14Z,17Z)-eicosatrienoyl-CoA"	"(11Z,14Z,17Z)-eicosatrienoyl-CoA"	"c, r, m"
"13,16,19-docosatrienoicacid"	"13,16,19-docosatrienoicacid"	"c, r, l, e"
"13,16,19-docosatrienoyl-CoA"	"13,16,19-docosatrienoyl-CoA"	"c, r, m"
"10,13,16,19-docosatetraenoicacid"	"10,13,16,19-docosatetraenoicacid"	"c, l, r, e"
"10,13,16,19-docosatetraenoyl-CoA"	"10,13,16,19-docosatetraenoyl-CoA"	"c, m, r"
"12,15,18,21-tetracosatetraenoicacid"	"12,15,18,21-tetracosatetraenoicacid"	"c, l, r, e"
"12,15,18,21-tetracosatetraenoyl-CoA"	"12,15,18,21-tetracosatetraenoyl-CoA"	"c, r"
"linoleoyl-CoA"	"linoleoyl-CoA"	"c, r, m, p"
"linoleate"	"linoleate"	"c, r, l, e"
"gamma-linolenoyl-CoA"	"gamma-linolenoyl-CoA"	"c, r, m, p"
"gamma-linolenate"	"gamma-linolenate"	"c, r, l, e"
"dihomo-gamma-linolenoyl-CoA"	"dihomo-gamma-linolenoyl-CoA"	"c, r, m"
"dihomo-gamma-linolenate"	"dihomo-gamma-linolenate"	"c, r, l, e"
"arachidonate"	"arachidonate"	"c, r, p, e, l"
"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA"	"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA"	"c, r, m"
"adrenicacid"	"adrenicacid"	"c, r, l, e"
"(9Z,12Z,15Z,18Z)-TTA"	"(9Z,12Z,15Z,18Z)-TTA"	"c, r, l, e"
"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA"	"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA"	"c, r"
"(6Z,9Z,12Z,15Z,18Z)-TPA"	"(6Z,9Z,12Z,15Z,18Z)-TPA"	"c, r, l, e"
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA"	"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA"	"c, r, p"
"(4Z,7Z,10Z,13Z,16Z)-DPA"	"(4Z,7Z,10Z,13Z,16Z)-DPA"	"c, r, l, e"
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"	"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"	"c, r, p, m"
"(11Z,14Z)-eicosadienoicacid"	"(11Z,14Z)-eicosadienoicacid"	"c, r, l, e"
"(11Z,14Z)-eicosadienoyl-CoA"	"(11Z,14Z)-eicosadienoyl-CoA"	"c, r, m"
"(13Z,16Z)-docosadienoicacid"	"(13Z,16Z)-docosadienoicacid"	"c, r, l, e"
"(13Z,16Z)-docosadienoyl-CoA"	"(13Z,16Z)-docosadienoyl-CoA"	"c, r, m"
"10,13,16-docosatrienoyl-CoA"	"10,13,16-docosatrienoyl-CoA"	"c, m, r"
"10,13,16-docosatriynoicacid"	"10,13,16-docosatriynoicacid"	"c, l, r, e"
"acetyl-[ACP]"	"acetyl-[ACP]"	"c"
"malonyl-[ACP]"	"malonyl-[ACP]"	"c"
"[ACP]"	"[ACP]"	"c"
"acetoacetyl-[ACP]"	"acetoacetyl-[ACP]"	"c"
"(R)-3-hydroxybutanoyl-[ACP]"	"(R)-3-hydroxybutanoyl-[ACP]"	"c"
"but-2-enoyl-[ACP]"	"but-2-enoyl-[ACP]"	"c"
"butyryl-[ACP]"	"butyryl-[ACP]"	"c"
"3-oxohexanoyl-[ACP]"	"3-oxohexanoyl-[ACP]"	"c"
"D-3-hydroxyhexanoyl-[ACP]"	"D-3-hydroxyhexanoyl-[ACP]"	"c"
"(2E)-hexenoyl-[ACP]"	"(2E)-hexenoyl-[ACP]"	"c"
"hexanoyl-[ACP]"	"hexanoyl-[ACP]"	"c"
"3-oxooctanoyl-[ACP]"	"3-oxooctanoyl-[ACP]"	"c"
"(R)-3-hydroxyoctanoyl-[ACP]"	"(R)-3-hydroxyoctanoyl-[ACP]"	"c"
"(2E)-octenoyl-[ACP]"	"(2E)-octenoyl-[ACP]"	"c"
"octanoyl-[ACP]"	"octanoyl-[ACP]"	"c"
"3-oxodecanoyl-[ACP]"	"3-oxodecanoyl-[ACP]"	"c"
"(R)-3-hydroxydecanoyl-[ACP]"	"(R)-3-hydroxydecanoyl-[ACP]"	"c"
"(2E)-decenoyl-[ACP]"	"(2E)-decenoyl-[ACP]"	"c"
"decanoyl-[ACP]"	"decanoyl-[ACP]"	"c"
"3-oxododecanoyl-[ACP]"	"3-oxododecanoyl-[ACP]"	"c"
"D-3-hydroxydodecanoyl-[ACP]"	"D-3-hydroxydodecanoyl-[ACP]"	"c"
"(2E)-dodecenoyl-[ACP]"	"(2E)-dodecenoyl-[ACP]"	"c"
"dodecanoyl-[ACP]"	"dodecanoyl-[ACP]"	"c"
"3-oxotetradecanoyl-[ACP]"	"3-oxotetradecanoyl-[ACP]"	"c"
"HMA"	"HMA"	"c"
"(2E)-tetradecenoyl-[ACP]"	"(2E)-tetradecenoyl-[ACP]"	"c"
"tetradecanoyl-[ACP]"	"tetradecanoyl-[ACP]"	"c"
"3-oxohexadecanoyl-[ACP]"	"3-oxohexadecanoyl-[ACP]"	"c"
"(R)-3-hydroxypalmitoyl-[ACP]"	"(R)-3-hydroxypalmitoyl-[ACP]"	"c"
"(2E)-hexadecenoyl-[ACP]"	"(2E)-hexadecenoyl-[ACP]"	"c"
"hexadecanoyl-[ACP]"	"hexadecanoyl-[ACP]"	"c"
"propanoyl-[ACP]"	"propanoyl-[ACP]"	"c"
"3-oxopentanoyl-[ACP]"	"3-oxopentanoyl-[ACP]"	"c"
"3-hydroxypentanoyl-[ACP]"	"3-hydroxypentanoyl-[ACP]"	"c"
"(2E)-pentenoyl-[ACP]"	"(2E)-pentenoyl-[ACP]"	"c"
"pentanoyl-[ACP]"	"pentanoyl-[ACP]"	"c"
"3-oxoheptanoyl-[ACP]"	"3-oxoheptanoyl-[ACP]"	"c"
"3-hydroxyheptanoyl-[ACP]"	"3-hydroxyheptanoyl-[ACP]"	"c"
"(2E)-heptenoyl-[ACP]"	"(2E)-heptenoyl-[ACP]"	"c"
"heptanoyl-[ACP]"	"heptanoyl-[ACP]"	"c"
"3-oxononanoyl-[ACP]"	"3-oxononanoyl-[ACP]"	"c"
"3-hydroxynonanoyl-[ACP]"	"3-hydroxynonanoyl-[ACP]"	"c"
"(2E)-nonenoyl-[ACP]"	"(2E)-nonenoyl-[ACP]"	"c"
"nonanoyl-[ACP]"	"nonanoyl-[ACP]"	"c"
"3-oxoundecanoyl-[ACP]"	"3-oxoundecanoyl-[ACP]"	"c"
"3-hydroxyundecanoyl-[ACP]"	"3-hydroxyundecanoyl-[ACP]"	"c"
"(2E)-undecenoyl-[ACP]"	"(2E)-undecenoyl-[ACP]"	"c"
"undecanoyl-[ACP]"	"undecanoyl-[ACP]"	"c"
"3-oxotridecanoyl-[ACP]"	"3-oxotridecanoyl-[ACP]"	"c"
"3-hydroxytridecanoyl-[ACP]"	"3-hydroxytridecanoyl-[ACP]"	"c"
"(2E)-tridecenoyl-[ACP]"	"(2E)-tridecenoyl-[ACP]"	"c"
"tridecanoyl-[ACP]"	"tridecanoyl-[ACP]"	"c"
"3-oxopentadecanoyl-[ACP]"	"3-oxopentadecanoyl-[ACP]"	"c"
"3-hydroxypentadecanoyl-[ACP]"	"3-hydroxypentadecanoyl-[ACP]"	"c"
"(2E)-pentadecenoyl-[ACP]"	"(2E)-pentadecenoyl-[ACP]"	"c"
"pentadecanoyl-[ACP]"	"pentadecanoyl-[ACP]"	"c"
"3-oxoheptadecanoyl-[ACP]"	"3-oxoheptadecanoyl-[ACP]"	"c"
"3-hydroxyheptadecanoyl-[ACP]"	"3-hydroxyheptadecanoyl-[ACP]"	"c"
"(2E)-heptadecenoyl-[ACP]"	"(2E)-heptadecenoyl-[ACP]"	"c"
"heptadecanoyl-[ACP]"	"heptadecanoyl-[ACP]"	"c"
"3-oxo-11-cis-eicosenoyl-CoA"	"3-oxo-11-cis-eicosenoyl-CoA"	"c, p, m"
"3(S)-hydroxy-11-cis-eicosenoyl-CoA"	"3(S)-hydroxy-11-cis-eicosenoyl-CoA"	"c, p, m"
"trans,cis-2,11-eicosadienoyl-CoA"	"trans,cis-2,11-eicosadienoyl-CoA"	"c, p, m"
"3-oxo-13cis-docosenoyl-CoA"	"3-oxo-13cis-docosenoyl-CoA"	"c, p, m"
"3(S)-hydroxy-13-cis-docosenoyl-CoA"	"3(S)-hydroxy-13-cis-docosenoyl-CoA"	"c, p, m"
"trans,cis-2,13-docosadienoyl-CoA"	"trans,cis-2,13-docosadienoyl-CoA"	"c, p, m"
"3-oxo-cis-15-tetracosaenoyl-CoA"	"3-oxo-cis-15-tetracosaenoyl-CoA"	"c, p"
"3(S)-hydroxy-cis-15-tetracosaenoyl-CoA"	"3(S)-hydroxy-cis-15-tetracosaenoyl-CoA"	"c, p"
"trans,cis-2,15-tetracosadienoyl-CoA"	"trans,cis-2,15-tetracosadienoyl-CoA"	"c, p"
"3-oxo-hexacosenoyl-CoA"	"3-oxo-hexacosenoyl-CoA"	"c, p"
"3(S)-hydroxy-hexacosenoyl-CoA"	"3(S)-hydroxy-hexacosenoyl-CoA"	"c, p"
"trans,cis-2,17-hexacosadienoyl-CoA"	"trans,cis-2,17-hexacosadienoyl-CoA"	"c, p"
"3-oxo-13-cis-eicosenoyl-CoA"	"3-oxo-13-cis-eicosenoyl-CoA"	"c, m, p"
"3(S)-hydroxy-13-cis-eicosenoyl-CoA"	"3(S)-hydroxy-13-cis-eicosenoyl-CoA"	"c, m, p"
"trans,cis-2,13-eicosadienoyl-CoA"	"trans,cis-2,13-eicosadienoyl-CoA"	"c, m, p"
"(7Z)-octadecenoyl-CoA"	"(7Z)-octadecenoyl-CoA"	"c, m, r"
"3-oxo-9-cis-eicosenoyl-CoA"	"3-oxo-9-cis-eicosenoyl-CoA"	"c"
"3(S)-hydroxy-9-cis-eicosenoyl-CoA"	"3(S)-hydroxy-9-cis-eicosenoyl-CoA"	"c"
"trans,cis-2,9-eicosadienoyl-CoA"	"trans,cis-2,9-eicosadienoyl-CoA"	"c"
"3-oxo-11cis-docosenoyl-CoA"	"3-oxo-11cis-docosenoyl-CoA"	"c"
"3(S)-hydroxy-11-cis-docosenoyl-CoA"	"3(S)-hydroxy-11-cis-docosenoyl-CoA"	"c"
"trans,cis-2,11-docosadienoyl-CoA"	"trans,cis-2,11-docosadienoyl-CoA"	"c"
"3-oxo-eicosadienoyl-CoA"	"3-oxo-eicosadienoyl-CoA"	"c"
"3(S)-hydroxy-3-oxo-eicosadienoyl-CoA"	"3(S)-hydroxy-3-oxo-eicosadienoyl-CoA"	"c"
"trans,cis-2,8,11-eicosatrienoyl-CoA"	"trans,cis-2,8,11-eicosatrienoyl-CoA"	"c"
"3-oxooctadecanoyl-CoA"	"3-oxooctadecanoyl-CoA"	"c, p, m"
"3-hydroxyoctadecanoyl-CoA"	"3-hydroxyoctadecanoyl-CoA"	"c, p, m"
"(2E)-octadecenoyl-CoA"	"(2E)-octadecenoyl-CoA"	"c, p, m"
"3-oxoeicosanoyl-CoA"	"3-oxoeicosanoyl-CoA"	"c, p, m"
"3-hydroxyeicosanoyl-CoA"	"3-hydroxyeicosanoyl-CoA"	"c, p, m"
"(2E)-eicosenoyl-CoA"	"(2E)-eicosenoyl-CoA"	"c, p, m"
"3-oxodocosanoyl-CoA"	"3-oxodocosanoyl-CoA"	"c, p, m"
"3-hydroxydocosanoyl-CoA"	"3-hydroxydocosanoyl-CoA"	"c, p, m"
"(2E)-docosenoyl-CoA"	"(2E)-docosenoyl-CoA"	"c, p, m"
"3-oxotetracosanoyl-CoA"	"3-oxotetracosanoyl-CoA"	"c, p"
"3-hydroxytetracosanoyl-CoA"	"3-hydroxytetracosanoyl-CoA"	"c, p"
"(2E)-tetracosenoyl-CoA"	"(2E)-tetracosenoyl-CoA"	"c, p"
"3-oxohexacosanoyl-CoA"	"3-oxohexacosanoyl-CoA"	"c, p"
"3-hydroxyhexacosanoyl-CoA"	"3-hydroxyhexacosanoyl-CoA"	"c, p"
"(2E)-hexacosenoyl-CoA"	"(2E)-hexacosenoyl-CoA"	"c, p"
"3-oxononadecanoyl-CoA"	"3-oxononadecanoyl-CoA"	"c, m"
"3-hydroxynonadecanoyl-CoA"	"3-hydroxynonadecanoyl-CoA"	"c, m"
"(2E)-nonadecenoyl-CoA"	"(2E)-nonadecenoyl-CoA"	"c, m"
"3-oxoheneicosanoyl-CoA"	"3-oxoheneicosanoyl-CoA"	"c, m"
"3-hydroxyheneicosanoyl-CoA"	"3-hydroxyheneicosanoyl-CoA"	"c, m"
"(2E)-heneicosenoyl-CoA"	"(2E)-heneicosenoyl-CoA"	"c, m"
"3-oxotricosanoyl-CoA"	"3-oxotricosanoyl-CoA"	"c"
"3-hydroxytricosanoyl-CoA"	"3-hydroxytricosanoyl-CoA"	"c"
"(2E)-tricosenoyl-CoA"	"(2E)-tricosenoyl-CoA"	"c"
"9(S)-HPODE"	"9(S)-HPODE"	"c"
"9-hydroxyoctadecadienoate"	"9-hydroxyoctadecadienoate"	"c"
"13(S)-HPODE"	"13(S)-HPODE"	"c"
"13(S)-HODE"	"13(S)-HODE"	"c"
"9(10)-EpOME"	"9(10)-EpOME"	"c, r"
"12(13)-EpOME"	"12(13)-EpOME"	"c, r"
"9,10-hydroxyoctadec-12(Z)-enoate"	"9,10-hydroxyoctadec-12(Z)-enoate"	"c, r"
"12,13-hydroxyoctadec-9(z)-enoate"	"12,13-hydroxyoctadec-9(z)-enoate"	"c, r"
"lipoicacid"	"lipoicacid"	"c, e"
"lipoyl-AMP"	"lipoyl-AMP"	"c"
"[protein]-N6-(lipoyl)lysine"	"[protein]-N6-(lipoyl)lysine"	"c"
"5-deoxyadenosine"	"5-deoxyadenosine"	"c"
"lipoyl-[ACP]"	"lipoyl-[ACP]"	"c"
"[protein]-N6-(octanoyl)lysine"	"[protein]-N6-(octanoyl)lysine"	"c"
"[protein]-N6-(dihydrolipoyl)lysine"	"[protein]-N6-(dihydrolipoyl)lysine"	"c"
"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA"	"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA"	"c"
"3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA"	"3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA"	"c"
"eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA"	"eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA"	"c"
"3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA"	"3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA"	"c"
"3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA"	"3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA"	"c"
"2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA"	"2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA"	"c"
"3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA"	"3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA"	"c"
"3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA"	"3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA"	"c"
"2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA"	"2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA"	"c"
"delta2-THA-CoA"	"delta2-THA-CoA"	"p"
"3-hydroxy-THA-CoA"	"3-hydroxy-THA-CoA"	"p"
"3-keto-THA-CoA"	"3-keto-THA-CoA"	"p"
"3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA"	"3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA"	"c"
"3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA"	"3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA"	"c"
"trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA"	"trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA"	"c"
"3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA"	"3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA"	"c"
"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA"	"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA"	"c"
"trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA"	"trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA"	"c"
"3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA"	"3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA"	"c"
"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA"	"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA"	"c"
"trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA"	"trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA"	"c"
"3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA"	"3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA"	"c"
"3(S)-hydroxy-docosa-13,16,19-all-cis-trienoyl-CoA"	"3(S)-hydroxy-docosa-13,16,19-all-cis-trienoyl-CoA"	"c"
"trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA"	"trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA"	"c"
"5(S)-HpEPE"	"5(S)-HpEPE"	"c, n"
"5(S)-HEPE"	"5(S)-HEPE"	"c, p"
"5-oxo-EPE"	"5-oxo-EPE"	"c, p"
"leukotrieneA5"	"leukotrieneA5"	"c"
"leukotrieneB5"	"leukotrieneB5"	"c"
"leukotrieneC5"	"leukotrieneC5"	"c"
"leukotrieneD5"	"leukotrieneD5"	"c"
"15(R)-HpEPE"	"15(R)-HpEPE"	"c, n, r, p"
"15(R)-HEPE"	"15(R)-HEPE"	"c, n, r, p"
"5(S),6(S)-epoxy-15(R)-HEPE"	"5(S),6(S)-epoxy-15(R)-HEPE"	"c, n, r, p"
"15-epi-lipoxinB5"	"15-epi-lipoxinB5"	"c, r, p"
"15-epi-lipoxinA5"	"15-epi-lipoxinA5"	"c, r, p"
"PGH3"	"PGH3"	"c, n"
"prostaglandinE3"	"prostaglandinE3"	"c, n"
"(18R)-HEPE"	"(18R)-HEPE"	"c"
"5,6-epoxy,(18R)-HEPE"	"5,6-epoxy,(18R)-HEPE"	"c"
"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoicacid"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoicacid"	"c"
"3-oxo-dihomo-gamma-linolenoyl-CoA"	"3-oxo-dihomo-gamma-linolenoyl-CoA"	"c, m, p"
"trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA"	"trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA"	"c, m, p"
"3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA"	"3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA"	"c"
"3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA"	"3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA"	"c"
"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"	"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"	"c"
"3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA"	"3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA"	"c"
"2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA"	"2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA"	"c"
"trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA"	"trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA"	"p"
"3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA"	"3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA"	"p"
"3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA"	"3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA"	"p"
"3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA"	"3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA"	"c"
"3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA"	"3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA"	"c"
"trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA"	"trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA"	"c"
"3-oxoeicosa-cis,cis-11,14-dienoyl-CoA"	"3-oxoeicosa-cis,cis-11,14-dienoyl-CoA"	"c"
"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA"	"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA"	"c"
"trans,cis,cis-2,11,14-eicosatrienoyl-CoA"	"trans,cis,cis-2,11,14-eicosatrienoyl-CoA"	"c"
"3-oxodocasa-cis,cis-13,16-dienoyl-CoA"	"3-oxodocasa-cis,cis-13,16-dienoyl-CoA"	"c"
"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA"	"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA"	"c"
"trans,cis,cis-2,13,16-docasatrienoyl-CoA"	"trans,cis,cis-2,13,16-docasatrienoyl-CoA"	"c"
"2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA"	"2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA"	"m, p"
"trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA"	"trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA"	"m, p"
"trans-3-cis-8,11,14-eicosatetraenoyl-CoA"	"trans-3-cis-8,11,14-eicosatetraenoyl-CoA"	"m, p"
"3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA"	"3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA"	"m, p"
"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA"	"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA"	"m, p"
"3(S)-hydroxy-(6Z,9Z,12Z)-octadecatrienoyl-CoA"	"3(S)-hydroxy-(6Z,9Z,12Z)-octadecatrienoyl-CoA"	"m, p"
"3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA"	"3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA"	"m, p"
"(4Z,7Z,10Z)-hexadecatrienoyl-CoA"	"(4Z,7Z,10Z)-hexadecatrienoyl-CoA"	"m, p"
"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA"	"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA"	"m, p"
"(3Z,7Z,10Z)-hexadecatrienoyl-CoA"	"(3Z,7Z,10Z)-hexadecatrienoyl-CoA"	"m, p"
"trans,cis,cis-2,7,10-hexadecatrienoyl-CoA"	"trans,cis,cis-2,7,10-hexadecatrienoyl-CoA"	"m, p"
"7-HETE"	"7-HETE"	"c"
"8-HETE"	"8-HETE"	"c"
"9-HETE"	"9-HETE"	"c"
"10-HETE"	"10-HETE"	"c"
"11-HETE"	"11-HETE"	"c"
"13-HETE"	"13-HETE"	"c"
"16(R)-HETE"	"16(R)-HETE"	"c"
"17-HETE"	"17-HETE"	"c"
"18-HETE"	"18-HETE"	"c"
"19(S)-HETE"	"19(S)-HETE"	"c"
"5,6-EET"	"5,6-EET"	"c, r"
"5,6-DHET"	"5,6-DHET"	"c"
"8,9-EET"	"8,9-EET"	"c, r"
"8,9-DHET"	"8,9-DHET"	"c"
"11,12-EET"	"11,12-EET"	"c"
"11,12-DHET"	"11,12-DHET"	"c"
"14,15-EET"	"14,15-EET"	"c, r"
"14,15-DHET"	"14,15-DHET"	"c"
"5(S)-HPETE"	"5(S)-HPETE"	"c, m"
"leukotrieneA4"	"leukotrieneA4"	"c, n"
"5(S)-HETE"	"5(S)-HETE"	"c, m, r"
"leukotrieneB4"	"leukotrieneB4"	"c, m, r, p"
"5,15-DiHETE"	"5,15-DiHETE"	"c"
"5-oxo-ETE"	"5-oxo-ETE"	"c"
"5-oxo-12-HETE"	"5-oxo-12-HETE"	"c"
"5,12-DiHETE"	"5,12-DiHETE"	"c"
"15(S)-HETE"	"15(S)-HETE"	"c"
"15(S)-HPETE"	"15(S)-HPETE"	"c, n, r, p"
"15H-11,12-EETA"	"15H-11,12-EETA"	"c"
"11,12,15-THETA"	"11,12,15-THETA"	"c"
"11h-14,15-EETA"	"11h-14,15-EETA"	"c"
"11,14,15-THETA"	"11,14,15-THETA"	"c"
"15(R)-HETE"	"15(R)-HETE"	"c, p, r"
"(5S,6S)-epoxy-(15R)-hydroxy-ETE"	"(5S,6S)-epoxy-(15R)-hydroxy-ETE"	"c, p, r"
"15-epi-lipoxinA4"	"15-epi-lipoxinA4"	"c, p, r"
"15-epi-lipoxinB4"	"15-epi-lipoxinB4"	"c, p, r"
"14,15-DiHETE"	"14,15-DiHETE"	"c, n"
"lipoxinB4"	"lipoxinB4"	"c, n, r, p"
"5,6-epoxytetraene"	"5,6-epoxytetraene"	"c, n, r, p"
